Taxonomic Identification,Phylum or Class,Date,Station Number,Depth (m),Actual Count,Density (cells/mL),Biovolume (cubic micrometers/mL),Cell Volume (cubic micrometers/cell)
Thalassiosira spp.,BACILLARIOPHYTA,11/3/2014,22,2,10,69,45791.7,663.7
Unknown Diatom,BACILLARIOPHYTA,11/3/2014,22,2,164,1131.6,66655.4,58.9
Unknown Diatom,BACILLARIOPHYTA,11/3/2014,22,2,1,6.9,5312.9,770
Unknown Diatom,BACILLARIOPHYTA,11/3/2014,22,2,2,0.4,2412.8,6031.9
Chlamydomonas globosa,CHLOROPHYTA,11/3/2014,22,2,1,6.9,780.4,113.1
Nannochloris spp.,CHLOROPHYTA,11/3/2014,22,2,3,20.7,292.6,14.1
Pseudoscourfieldia marina,CHLOROPHYTA,11/3/2014,22,2,14,96.6,3793.4,39.3
Dictyocha sp.,CHRYSOPHYCEAE,11/3/2014,22,2,1,3.6,6521.7,1795.7
Pseudokephyrion sp.,CHRYSOPHYCEAE,11/3/2014,22,2,1,6.9,162.6,23.6
Strobilidium sp.,CILIOPHORA,11/3/2014,22,2,1,6.9,30278.5,4388.3
Cryptomonas erosa,CRYPTOPHYTA,11/3/2014,22,2,1,6.9,2080.9,301.6
Hillea fusiformis,CRYPTOPHYTA,11/3/2014,22,2,68,469.2,7677.1,16.4
Plagioselmis nannoplanctica,CRYPTOPHYTA,11/3/2014,22,2,56,386.4,77688.7,201.1
Teleaulax acuta,CRYPTOPHYTA,11/3/2014,22,2,4,27.6,26907.8,974.9
Gyrodinium spp.,DINOPHYCEAE,11/3/2014,22,2,1,3.6,627.5,172.8
Tripos lineatus,DINOPHYCEAE,11/3/2014,22,2,2,13.8,304049.6,22033
Actinoptychus senarius,BACILLARIOPHYTA,11/3/2014,27,2,3,42.8,28390.8,663.7
Aulacoseira sp.,BACILLARIOPHYTA,11/3/2014,27,2,1,14.3,2150.3,150.8
Coscinodiscus radiatus,BACILLARIOPHYTA,11/3/2014,27,2,2,0.4,2895.3,7238.2
Craticula elkab,BACILLARIOPHYTA,11/3/2014,27,2,1,14.3,12767.5,895.4
Cyclotella sp.,BACILLARIOPHYTA,11/3/2014,27,2,1,14.3,19420,1361.9
Cyclotella sp.,BACILLARIOPHYTA,11/3/2014,27,2,2,7.3,20127.1,2772.3
Ditylum brightwellii,BACILLARIOPHYTA,11/3/2014,27,2,1,0.2,9606.5,48032
Fragilaria trigibba,BACILLARIOPHYTA,11/3/2014,27,2,1,14.3,2588.1,181.5
Nitzschia spp.,BACILLARIOPHYTA,11/3/2014,27,2,5,71.3,22815.5,320
Paralia sulcata,BACILLARIOPHYTA,11/3/2014,27,2,8,114.1,65047,570.2
Skeletonema sp.,BACILLARIOPHYTA,11/3/2014,27,2,2,28.5,1209.6,42.4
Thalassionema sp.,BACILLARIOPHYTA,11/3/2014,27,2,3,42.8,2823.4,66
Thalassiosira spp.,BACILLARIOPHYTA,11/3/2014,27,2,6,85.6,33598.6,392.7
Ulnaria ulna,BACILLARIOPHYTA,11/3/2014,27,2,1,14.3,2822.3,197.9
Unknown Diatom,BACILLARIOPHYTA,11/3/2014,27,2,176,2509.7,35480.2,14.1
Unknown Diatom,BACILLARIOPHYTA,11/3/2014,27,2,3,42.8,206631.6,4830.1
Pseudoscourfieldia marina,CHLOROPHYTA,11/3/2014,27,2,50,713,18665.9,26.2
Unknown Ciliate,CILIOPHORA,11/3/2014,27,2,1,0.2,514.5,2572.5
Hillea fusiformis,CRYPTOPHYTA,11/3/2014,27,2,96,1368.9,14335.4,10.5
Komma caudata,CRYPTOPHYTA,11/3/2014,27,2,10,142.6,48531.4,340.3
Plagioselmis nannoplanctica,CRYPTOPHYTA,11/3/2014,27,2,45,641.7,129018.8,201.1
Teleaulax sp.,CRYPTOPHYTA,11/3/2014,27,2,4,57,47949,840.6
Unknown Cryptophyte,CRYPTOPHYTA,11/3/2014,27,2,1,14.3,14634.1,1026.2
Actinoptychus senarius,BACILLARIOPHYTA,11/3/2014,36,2,1,3.6,4121.8,1134.9
Bacillaria paxillifera,BACILLARIOPHYTA,11/3/2014,36,2,1,7.4,1217,165
Caloneis alpestris,BACILLARIOPHYTA,11/3/2014,36,2,1,0.2,1100.8,5504.1
Coscinodiscus sp.,BACILLARIOPHYTA,11/3/2014,36,2,1,3.6,230070.1,63380.2
Cyclotella meneghiniana,BACILLARIOPHYTA,11/3/2014,36,2,1,7.4,5874,796.4
Cyclotella sp.,BACILLARIOPHYTA,11/3/2014,36,2,7,51.6,73192.9,1417.6
Diploneis interrupta,BACILLARIOPHYTA,11/3/2014,36,2,1,3.6,28667.5,7893.2
Diploneis sp.,BACILLARIOPHYTA,11/3/2014,36,2,1,7.4,10583.6,1434.9
Eunotogramma dubium,BACILLARIOPHYTA,11/3/2014,36,2,4,29.5,8341.7,282.7
Fragilariopsis pseudonana,BACILLARIOPHYTA,11/3/2014,36,2,1,7.4,556.1,75.4
Gyrosigma fasciola,BACILLARIOPHYTA,11/3/2014,36,2,1,0.2,1022,5110
Navicula spp.,BACILLARIOPHYTA,11/3/2014,36,2,2,14.8,10079.6,683.3
Nitzschia acicularis,BACILLARIOPHYTA,11/3/2014,36,2,1,7.4,3872.3,525
Nitzschia sigma,BACILLARIOPHYTA,11/3/2014,36,2,2,0.4,3418.8,8547
Nitzschia spp.,BACILLARIOPHYTA,11/3/2014,36,2,5,36.9,1217,33
Nitzschia spp.,BACILLARIOPHYTA,11/3/2014,36,2,8,59,18881.8,320
Paralia sulcata,BACILLARIOPHYTA,11/3/2014,36,2,14,103.3,78505,760.3
Pleurosigma sp.,BACILLARIOPHYTA,11/3/2014,36,2,1,7.4,13423.8,1820
Seminavis sp.,BACILLARIOPHYTA,11/3/2014,36,2,1,3.6,2470,680.1
Skeletonema costatum,BACILLARIOPHYTA,11/3/2014,36,2,10,73.8,7241.1,98.2
Tabularia fasciculata,BACILLARIOPHYTA,11/3/2014,36,2,1,3.6,2182.2,600.8
Thalassionema sp.,BACILLARIOPHYTA,11/3/2014,36,2,8,59,1416.1,24
Thalassiosira spp.,BACILLARIOPHYTA,11/3/2014,36,2,3,22.1,22244.6,1005.2
Thalassiosira spp.,BACILLARIOPHYTA,11/3/2014,36,2,26,191.8,192786.7,1005.3
Thalassiosira spp.,BACILLARIOPHYTA,11/3/2014,36,2,3,22.1,22244.6,1005.3
Tryblionella acuminata,BACILLARIOPHYTA,11/3/2014,36,2,1,0.2,302.4,1511.9
Tryblionella navicularis,BACILLARIOPHYTA,11/3/2014,36,2,4,29.5,11122.3,377
Ulnaria ulna,BACILLARIOPHYTA,11/3/2014,36,2,1,7.4,521.4,70.7
Unknown Diatom,BACILLARIOPHYTA,11/3/2014,36,2,240,1770.2,69514.4,39.3
Unknown Diatom,BACILLARIOPHYTA,11/3/2014,36,2,2,14.8,25546.6,1732
Chlamydomonas globosa,CHLOROPHYTA,11/3/2014,36,2,1,7.4,695.1,94.2
Pseudoscourfieldia marina,CHLOROPHYTA,11/3/2014,36,2,1,7.4,193.1,26.2
Hillea fusiformis,CRYPTOPHYTA,11/3/2014,36,2,52,383.5,4016.4,10.5
Komma caudata,CRYPTOPHYTA,11/3/2014,36,2,4,29.5,5437.6,184.3
Leucocryptos marina,CRYPTOPHYTA,11/3/2014,36,2,2,14.8,24554,1664.5
Plagioselmis nannoplanctica,CRYPTOPHYTA,11/3/2014,36,2,6,44.3,9639.3,217.8
Teleaulax acuta,CRYPTOPHYTA,11/3/2014,36,2,2,14.8,21750.3,1474.5
Gymnodinium sp.,DINOPHYCEAE,11/3/2014,36,2,1,0.2,700.4,3501.8
Aulacoseira sp.,BACILLARIOPHYTA,11/18/2014,6,2,1,0.2,323.1,1615.6
Cocconeis placentula,BACILLARIOPHYTA,11/18/2014,6,2,1,26.7,11969.5,447.7
Coscinodiscus sp.,BACILLARIOPHYTA,11/18/2014,6,2,1,3.6,211038.3,58106.8
Craticula sp.,BACILLARIOPHYTA,11/18/2014,6,2,1,26.7,6614.7,247.4
Craticula vixnegligenda,BACILLARIOPHYTA,11/18/2014,6,2,1,0.2,103.7,518.4
Cyclotella sp.,BACILLARIOPHYTA,11/18/2014,6,2,1,26.7,20579.2,769.6
Cymbella sp.,BACILLARIOPHYTA,11/18/2014,6,2,1,0.2,72,360.1
Diploneis elliptica,BACILLARIOPHYTA,11/18/2014,6,2,1,3.6,10026.5,2760.7
Entomoneis sp.,BACILLARIOPHYTA,11/18/2014,6,2,1,3.6,13806,3801.3
Epithemia sp.,BACILLARIOPHYTA,11/18/2014,6,2,1,0.2,80,400
Fragilaria brevistriata,BACILLARIOPHYTA,11/18/2014,6,2,3,80.2,15119.4,188.5
Nitzschia inconspicua,BACILLARIOPHYTA,11/18/2014,6,2,1,26.7,641.7,24
Nitzschia spp.,BACILLARIOPHYTA,11/18/2014,6,2,1,26.7,1203.2,45
Rhoicosphenia sp.,BACILLARIOPHYTA,11/18/2014,6,2,1,3.6,1109.8,305.6
Thalassionema sp.,BACILLARIOPHYTA,11/18/2014,6,2,2,53.5,4812.7,90
Thalassiosira eccentrica,BACILLARIOPHYTA,11/18/2014,6,2,1,3.6,47950.3,13202.5
Tryblionella navicularis,BACILLARIOPHYTA,11/18/2014,6,2,2,7.3,9584.4,1319.5
Ulnaria sp.,BACILLARIOPHYTA,11/18/2014,6,2,1,26.7,6299.7,235.6
Unknown Diatom,BACILLARIOPHYTA,11/18/2014,6,2,16,427.8,16799.3,39.3
Unknown Diatom,BACILLARIOPHYTA,11/18/2014,6,2,4,14.5,18697,1286.8
Pseudoscourfieldia marina,CHLOROPHYTA,11/18/2014,6,2,1,26.7,1749.9,65.4
Hemiselmis sp.,CRYPTOPHYTA,11/18/2014,6,2,1,26.7,350,13.1
Hillea fusiformis,CRYPTOPHYTA,11/18/2014,6,2,1,26.7,630,23.6
Plagioselmis nannoplanctica,CRYPTOPHYTA,11/18/2014,6,2,17,454.5,230374.7,506.8
Chroococcus microscopicus,CYANOPHYCEAE,11/18/2014,6,2,1736,46415.4,12443.1,0.3
Protoperidinium sp.,DINOPHYCEAE,11/18/2014,6,2,1,0.2,304.9,1524.7
Euglena sp.,EUGLENOPHYTA,11/18/2014,6,2,1,0.2,141.4,706.9
Actinoptychus senarius,BACILLARIOPHYTA,11/18/2014,13,2,1,3.6,3651.2,1005.3
Coscinodiscus sp.,BACILLARIOPHYTA,11/18/2014,13,2,1,0.2,12744.5,63721.7
Nitzschia spp.,BACILLARIOPHYTA,11/18/2014,13,2,1,21.4,1764.6,82.5
Paralia sulcata,BACILLARIOPHYTA,11/18/2014,13,2,2,7.3,3423,471.2
Pleurosigma sp.,BACILLARIOPHYTA,11/18/2014,13,2,1,0.2,750.4,3752
Thalassionema sp.,BACILLARIOPHYTA,11/18/2014,13,2,2,7.3,610.2,84
Thalassiosira eccentrica,BACILLARIOPHYTA,11/18/2014,13,2,2,0.4,26786.7,66966.1
Thalassiosira spp.,BACILLARIOPHYTA,11/18/2014,13,2,4,85.6,1070116.6,12507.5
Tryblionella compressa,BACILLARIOPHYTA,11/18/2014,13,2,1,21.4,14413.8,673.9
Unknown Diatom,BACILLARIOPHYTA,11/18/2014,13,2,36,770,45358.2,58.9
Chlamydomonas spp.,CHLOROPHYTA,11/18/2014,13,2,1,21.4,2419.1,113.1
Pseudoscourfieldia marina,CHLOROPHYTA,11/18/2014,13,2,12,256.7,10079.6,39.3
Pyramimonas spp.,CHLOROPHYTA,11/18/2014,13,2,1,21.4,4659,217.8
Hillea fusiformis,CRYPTOPHYTA,11/18/2014,13,2,11,235.3,5543.8,23.6
Plagioselmis nannoplanctica,CRYPTOPHYTA,11/18/2014,13,2,18,385,151193.9,392.7
Teleaulax acuta,CRYPTOPHYTA,11/18/2014,13,2,1,21.4,15615,730
Chroococcus microscopicus,CYANOPHYCEAE,11/18/2014,13,2,1304,27892,7477.4,0.3
Ceratium fusus,DINOPHYCEAE,11/18/2014,13,2,1,0.2,4691.5,23457.5
Tripos lineatus,DINOPHYCEAE,11/18/2014,13,2,1,21.4,674123,31516.4
Actinoptychus senarius,BACILLARIOPHYTA,11/18/2014,18,2,1,3.6,2795.4,769.7
Chaetoceros sp.,BACILLARIOPHYTA,11/18/2014,18,2,1,3.6,2224.9,612.6
Cyclotella sp.,BACILLARIOPHYTA,11/18/2014,18,2,1,3.6,2410.4,664
Eucampia sp.,BACILLARIOPHYTA,11/18/2014,18,2,2,0.4,1938.7,4846.7
Nitzschia spp.,BACILLARIOPHYTA,11/18/2014,18,2,1,3.6,490.3,135
Pinnularia sp.,BACILLARIOPHYTA,11/18/2014,18,2,1,3.6,10953.5,3015.9
Pseudo-nitzschia sp.,BACILLARIOPHYTA,11/18/2014,18,2,2,7.3,632,87
Thalassiosira eccentrica,BACILLARIOPHYTA,11/18/2014,18,2,3,0.6,15934.1,26556.6
Thalassiosira spp.,BACILLARIOPHYTA,11/18/2014,18,2,3,53.5,72825,1361.9
Unknown Diatom,BACILLARIOPHYTA,11/18/2014,18,2,49,873.4,34298.6,39.3
Unknown Diatom,BACILLARIOPHYTA,11/18/2014,18,2,2,0.4,2093.6,5234
Chlamydomonas spp.,CHLOROPHYTA,11/18/2014,18,2,1,3.6,237.7,65.4
Pseudoscourfieldia marina,CHLOROPHYTA,11/18/2014,18,2,5,89.1,2099.9,23.6
Pyramimonas spp.,CHLOROPHYTA,11/18/2014,18,2,2,35.6,7765,217.8
Cryptomonas spp.,CRYPTOPHYTA,11/18/2014,18,2,1,0.2,181,904.8
Hillea fusiformis,CRYPTOPHYTA,11/18/2014,18,2,37,659.5,15539.4,23.6
Plagioselmis nannoplanctica,CRYPTOPHYTA,11/18/2014,18,2,25,445.6,174992.9,392.7
Teleaulax acuta,CRYPTOPHYTA,11/18/2014,18,2,1,17.8,17378,974.9
Chroococcus microscopicus,CYANOPHYCEAE,11/18/2014,18,2,1005,17913.8,4802.4,0.3
Gyrodinium spp.,DINOPHYCEAE,11/18/2014,18,2,1,3.6,2920.9,804.2
Unknown Dinoflagellate,DINOPHYCEAE,11/18/2014,18,2,1,3.6,5883.7,1620.9
Unknown Euglenophyte,EUGLENOPHYTA,11/18/2014,18,2,1,17.8,10331.6,579.8
Unknown Euglenophyte,EUGLENOPHYTA,11/18/2014,18,2,1,3.6,4335.8,1194.4
Actinoptychus senarius,BACILLARIOPHYTA,11/18/2014,22,2,1,0.2,201.1,1005.3
Chaetoceros sp.,BACILLARIOPHYTA,11/18/2014,22,2,5,1,673.9,673.9
Cocconeis placentula,BACILLARIOPHYTA,11/18/2014,22,2,1,17.8,2463.9,138.2
Coscinodiscus sp.,BACILLARIOPHYTA,11/18/2014,22,2,2,35.6,139994.3,3927
Cyclotella sp.,BACILLARIOPHYTA,11/18/2014,22,2,1,3.6,4381.4,1207
Fragilariopsis sp.,BACILLARIOPHYTA,11/18/2014,22,2,2,7.3,872.9,120.2
Nitzschia spp.,BACILLARIOPHYTA,11/18/2014,22,2,1,17.8,499.1,28
Paralia sulcata,BACILLARIOPHYTA,11/18/2014,22,2,1,3.6,855.7,235.6
Pleurosigma sp.,BACILLARIOPHYTA,11/18/2014,22,2,1,17.8,78178.9,4386
Pseudo-nitzschia sp.,BACILLARIOPHYTA,11/18/2014,22,2,5,1,247.5,247.5
Rhizosolenia sp.,BACILLARIOPHYTA,11/18/2014,22,2,1,0.2,2521.9,12609.6
Rhopalodia sp.,BACILLARIOPHYTA,11/18/2014,22,2,1,17.8,1247.9,70
Skeletonema sp.,BACILLARIOPHYTA,11/18/2014,22,2,8,142.6,21503.1,150.8
Thalassiosira spp.,BACILLARIOPHYTA,11/18/2014,22,2,1,17.8,153321.8,8603.9
Trigonium alternans,BACILLARIOPHYTA,11/18/2014,22,2,2,0.4,972.4,2431
Unknown Diatom,BACILLARIOPHYTA,11/18/2014,22,2,62,1105.1,65097.4,58.9
Chlamydomonas spp.,CHLOROPHYTA,11/18/2014,22,2,1,17.8,4778.5,268.1
Nephroselmis rotunda,CHLOROPHYTA,11/18/2014,22,2,1,17.8,2015.9,113.1
Pseudoscourfieldia marina,CHLOROPHYTA,11/18/2014,22,2,11,196.1,9855.6,50.3
Pyramimonas spp.,CHLOROPHYTA,11/18/2014,22,2,1,3.6,1610.7,443.5
Hillea fusiformis,CRYPTOPHYTA,11/18/2014,22,2,32,570.4,13439.5,23.6
Plagioselmis nannoplanctica,CRYPTOPHYTA,11/18/2014,22,2,24,427.8,156793.6,366.5
Chroococcus microscopicus,CYANOPHYCEAE,11/18/2014,22,2,998,17789,4768.9,0.3
Gymnodinium sp.,DINOPHYCEAE,11/18/2014,22,2,1,17.8,5973.1,335.1
Gyrodinium spp.,DINOPHYCEAE,11/18/2014,22,2,1,17.8,16127.3,904.8
Unknown Dinoflagellate,DINOPHYCEAE,11/18/2014,22,2,1,17.8,33122.7,1858.7
Unknown Euglenophyte,EUGLENOPHYTA,11/18/2014,22,2,3,10.9,5237.2,480.5
Actinoptychus senarius,BACILLARIOPHYTA,11/18/2014,27,2,3,0.6,1020.7,1701.2
Aulacoseira sp.,BACILLARIOPHYTA,11/18/2014,27,2,1,3.6,1460.5,402.1
Coscinodiscus sp.,BACILLARIOPHYTA,11/18/2014,27,2,1,3.6,41189.9,11341.1
Cyclotella sp.,BACILLARIOPHYTA,11/18/2014,27,2,1,30.6,36862.5,1206.2
Cyclotella sp.,BACILLARIOPHYTA,11/18/2014,27,2,1,0.2,2501.5,12507.5
Eunotogramma dubium,BACILLARIOPHYTA,11/18/2014,27,2,2,7.3,1711.5,235.6
Gyrosigma sp.,BACILLARIOPHYTA,11/18/2014,27,2,1,30.6,79569.2,2604
Nitzschia spp.,BACILLARIOPHYTA,11/18/2014,27,2,1,0.2,45,225
Paralia sulcata,BACILLARIOPHYTA,11/18/2014,27,2,1,30.6,11999.5,392.7
Pleurosigma sp.,BACILLARIOPHYTA,11/18/2014,27,2,1,30.6,93044.6,3045
Skeletonema sp.,BACILLARIOPHYTA,11/18/2014,27,2,4,122.2,7199.7,58.9
Thalassionema nitzschioides,BACILLARIOPHYTA,11/18/2014,27,2,1,3.6,1340.2,369
Thalassiosira spp.,BACILLARIOPHYTA,11/18/2014,27,2,3,91.7,254005.7,2770.9
Tryblionella navicularis,BACILLARIOPHYTA,11/18/2014,27,2,1,3.6,5376.9,1480.5
Unknown Diatom,BACILLARIOPHYTA,11/18/2014,27,2,49,1497.3,127002.9,84.8
Pseudoscourfieldia marina,CHLOROPHYTA,11/18/2014,27,2,5,152.8,9999.6,65.4
Hillea fusiformis,CRYPTOPHYTA,11/18/2014,27,2,49,1497.3,35278.6,23.6
Plagioselmis nannoplanctica,CRYPTOPHYTA,11/18/2014,27,2,11,336.1,114395.4,340.3
Chroococcus microscopicus,CYANOPHYCEAE,11/18/2014,27,2,1104,33734.4,9043.6,0.3
Gymnodinium sp.,DINOPHYCEAE,11/18/2014,27,2,1,30.6,27102.9,887
Unknown Euglenophyte,EUGLENOPHYTA,11/18/2014,27,2,1,30.6,6911.7,226.2
Actinoptychus senarius,BACILLARIOPHYTA,11/18/2014,36,2,1,12.6,21404.3,1701.2
Cocconeis sp.,BACILLARIOPHYTA,11/18/2014,36,2,1,0.2,103.7,518.4
Cyclotella sp.,BACILLARIOPHYTA,11/18/2014,36,2,5,62.9,8893.8,141.4
Cyclotella sp.,BACILLARIOPHYTA,11/18/2014,36,2,2,25.2,16700.5,663.8
Eunotogramma dubium,BACILLARIOPHYTA,11/18/2014,36,2,2,25.2,4743.3,188.5
Halamphora sp.,BACILLARIOPHYTA,11/18/2014,36,2,1,12.6,3322.3,264.1
Nitzschia spp.,BACILLARIOPHYTA,11/18/2014,36,2,8,100.7,6643.4,66
Paralia sulcata,BACILLARIOPHYTA,11/18/2014,36,2,12,151,86091.6,570.2
Psammothidium sp.,BACILLARIOPHYTA,11/18/2014,36,2,1,12.6,1482.3,117.8
Skeletonema sp.,BACILLARIOPHYTA,11/18/2014,36,2,44,553.6,7826.5,14.1
Thalassionema sp.,BACILLARIOPHYTA,11/18/2014,36,2,2,25.2,1207.9,48
Thalassiosira eccentrica,BACILLARIOPHYTA,11/18/2014,36,2,2,25.2,161905.9,6434
Thalassiosira spp.,BACILLARIOPHYTA,11/18/2014,36,2,3,37.7,10761.4,285.1
Tryblionella compressa,BACILLARIOPHYTA,11/18/2014,36,2,1,12.6,11957.2,950.3
Tryblionella granulata,BACILLARIOPHYTA,11/18/2014,36,2,1,3.6,3337.4,918.9
Unknown Diatom,BACILLARIOPHYTA,11/18/2014,36,2,226,2843.6,40199.8,14.1
Unknown Diatom,BACILLARIOPHYTA,11/18/2014,36,2,1,12.6,10376.1,824.8
Chlorella sp.,CHLOROPHYTA,11/18/2014,36,2,7,88.1,5764.5,65.4
Pseudoscourfieldia marina,CHLOROPHYTA,11/18/2014,36,2,40,503.3,7905.6,15.7
Unknown Chlorophyte,CHLOROPHYTA,11/18/2014,36,2,2,25.2,711.5,28.3
Ochromonas sp.,CHRYSOPHYCEAE,11/18/2014,36,2,2,25.2,12754.3,506.8
Cryptomonas erosa,CRYPTOPHYTA,11/18/2014,36,2,1,12.6,6746.1,536.2
Hillea fusiformis,CRYPTOPHYTA,11/18/2014,36,2,13,163.6,3854,23.6
Komma caudata,CRYPTOPHYTA,11/18/2014,36,2,1,12.6,4941,392.7
Plagioselmis nannoplanctica,CRYPTOPHYTA,11/18/2014,36,2,29,364.9,124183.2,340.3
Teleaulax acuta,CRYPTOPHYTA,11/18/2014,36,2,4,50.3,40081.2,796.4
Unknown Dinoflagellate,DINOPHYCEAE,11/18/2014,36,2,1,0.2,451.6,2257.8
Unknown Euglenophyte,EUGLENOPHYTA,11/18/2014,36,2,1,12.6,948.7,75.4
Amphora sp.,BACILLARIOPHYTA,11/18/2014,657,2,2,0.4,30,75
Aulacoseira sp.,BACILLARIOPHYTA,11/18/2014,657,2,6,1.2,1508,1256.6
Bacillaria paxillifera,BACILLARIOPHYTA,11/18/2014,657,2,2,53.5,168924.2,3159
Cocconeis placentula,BACILLARIOPHYTA,11/18/2014,657,2,2,53.5,34396.6,643.2
Cyclotella sp.,BACILLARIOPHYTA,11/18/2014,657,2,2,53.5,8063.7,150.8
Diploneis sp.,BACILLARIOPHYTA,11/18/2014,657,2,1,3.6,2036.7,560.8
Fragilaria brevistriata,BACILLARIOPHYTA,11/18/2014,657,2,1,26.7,4630.3,173.2
Fragilaria goulardii,BACILLARIOPHYTA,11/18/2014,657,2,1,0.2,895.4,4476.8
Fragilaria recapitellata,BACILLARIOPHYTA,11/18/2014,657,2,1,3.6,1026.9,282.7
Gomphoneis eriense,BACILLARIOPHYTA,11/18/2014,657,2,1,0.2,167.1,835.4
Gomphoneis sp.,BACILLARIOPHYTA,11/18/2014,657,2,1,3.6,90733.8,24982.5
Gyrosigma sp.,BACILLARIOPHYTA,11/18/2014,657,2,1,3.6,11473.2,3159
Melosira varians,BACILLARIOPHYTA,11/18/2014,657,2,1,3.6,10605.5,2920.1
Navicula erifuga,BACILLARIOPHYTA,11/18/2014,657,2,1,3.6,2688.5,740.2
Navicula rostellata,BACILLARIOPHYTA,11/18/2014,657,2,1,0.2,253.7,1268.4
Nitzschia acicularis,BACILLARIOPHYTA,11/18/2014,657,2,1,3.6,773.6,213
Nitzschia spp.,BACILLARIOPHYTA,11/18/2014,657,2,2,53.5,8823.2,165
Planothidium lanceolatum,BACILLARIOPHYTA,11/18/2014,657,2,1,3.6,821.5,226.2
Rhoicosphenia abbreviata,BACILLARIOPHYTA,11/18/2014,657,2,1,0.2,352.7,1763.6
Rhopalodia sp.,BACILLARIOPHYTA,11/18/2014,657,2,1,3.6,1162.9,320.2
Staurosira robusta,BACILLARIOPHYTA,11/18/2014,657,2,27,5.4,2850.1,527.8
Thalassiosira spp.,BACILLARIOPHYTA,11/18/2014,657,2,1,0.2,47.1,235.6
Ulnaria sp.,BACILLARIOPHYTA,11/18/2014,657,2,15,401.1,56697.7,141.4
Unknown Diatom,BACILLARIOPHYTA,11/18/2014,657,2,9,240.6,14174.4,58.9
Chlamydomonas spp.,CHLOROPHYTA,11/18/2014,657,2,1,26.7,3023.9,113.1
Chlorella sp.,CHLOROPHYTA,11/18/2014,657,2,3,80.2,1800.7,22.4
Monoraphidium minutum,CHLOROPHYTA,11/18/2014,657,2,5,133.7,2239.9,16.8
Scenedesmus sp.,CHLOROPHYTA,11/18/2014,657,2,6,160.4,2015.9,12.6
Tetraedron trigonum,CHLOROPHYTA,11/18/2014,657,2,1,3.6,581.1,160
Tetrastrum glabrum,CHLOROPHYTA,11/18/2014,657,2,4,106.9,1511.9,14.1
Unknown Chlorophyte,CHLOROPHYTA,11/18/2014,657,2,1,26.7,9855.6,368.6
Cryptomonas erosa,CRYPTOPHYTA,11/18/2014,657,2,1,26.7,6551.7,245
Cryptomonas ovata,CRYPTOPHYTA,11/18/2014,657,2,1,0.2,261.8,1309
Hillea fusiformis,CRYPTOPHYTA,11/18/2014,657,2,17,454.5,10709.6,23.6
Plagioselmis nannoplanctica,CRYPTOPHYTA,11/18/2014,657,2,3,80.2,31498.7,392.7
Chroococcus microscopicus,CYANOPHYCEAE,11/18/2014,657,2,1588,42458.3,11382.3,0.3
Chroococcus planctonicus,CYANOPHYCEAE,11/18/2014,657,2,2,53.5,1200.5,22.4
Microcystis sp.,CYANOPHYCEAE,11/18/2014,657,2,16,427.8,27998.9,65.4
Achnanthidium minutissimum,BACILLARIOPHYTA,12/10/2014,6,2,1,3.6,333.7,91.9
Actinoptychus senarius,BACILLARIOPHYTA,12/10/2014,6,2,1,0.2,132.7,663.7
Aulacoseira granulata,BACILLARIOPHYTA,12/10/2014,6,2,3,0.6,220.5,367.6
Chaetoceros spp.,BACILLARIOPHYTA,12/10/2014,6,2,12,43.6,17251.8,395.8
Cocconeis sp.,BACILLARIOPHYTA,12/10/2014,6,2,2,0.4,160.2,400.6
Cyclotella meneghiniana,BACILLARIOPHYTA,12/10/2014,6,2,1,0.2,792.6,3963.1
Cyclotella sp.,BACILLARIOPHYTA,12/10/2014,6,2,3,106.9,6299.7,58.9
Cyclotella sp.,BACILLARIOPHYTA,12/10/2014,6,2,2,71.3,16799.3,235.6
Cyclotella sp.,BACILLARIOPHYTA,12/10/2014,6,2,3,0.6,603.2,1005.3
Denticula sp.,BACILLARIOPHYTA,12/10/2014,6,2,1,35.6,2183.9,61.3
Diatoma vulgaris,BACILLARIOPHYTA,12/10/2014,6,2,1,0.2,324.2,1621.1
Diploneis sp.,BACILLARIOPHYTA,12/10/2014,6,2,1,35.6,70557.1,1979.2
Entomoneis sp.,BACILLARIOPHYTA,12/10/2014,6,2,4,14.5,88700.9,6105.7
Epithemia sp.,BACILLARIOPHYTA,12/10/2014,6,2,2,71.3,15212.3,213.4
Fragilaria brevistriata,BACILLARIOPHYTA,12/10/2014,6,2,1,0.2,21.4,107.2
Fragilaria construens,BACILLARIOPHYTA,12/10/2014,6,2,1,3.6,410.8,113.1
Geissleria sp.,BACILLARIOPHYTA,12/10/2014,6,2,1,3.6,3565.6,981.7
Nitzschia fonticola,BACILLARIOPHYTA,12/10/2014,6,2,2,71.3,2780.6,39
Nitzschia spp.,BACILLARIOPHYTA,12/10/2014,6,2,1,35.6,20534,576
Opephora sp.,BACILLARIOPHYTA,12/10/2014,6,2,1,3.6,188.3,51.8
Paralia sulcata,BACILLARIOPHYTA,12/10/2014,6,2,4,142.6,33598.6,235.6
Pinnularia sp.,BACILLARIOPHYTA,12/10/2014,6,2,1,3.6,599,164.9
Planothidium frequentissimum,BACILLARIOPHYTA,12/10/2014,6,2,1,3.6,872.9,240.3
Rhopalodia gibba,BACILLARIOPHYTA,12/10/2014,6,2,1,3.6,1046.2,288.1
Surirella tenera,BACILLARIOPHYTA,12/10/2014,6,2,1,0.2,4417.1,22085.4
